"term","hr","lo","hi","p","stratum","def","domain","n_pt","events"
"zE",1.15182019196681,0.937193334408905,1.41559879473451,0.179123935600833,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"zla",1.29128570130507,1.01485673416416,1.64300901424103,0.0375262573146013,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"zivs",1.06486645139449,0.796640039868923,1.42340392467854,0.671215846119894,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"zbmi",0.98323271868781,0.763605411296093,1.26602897883781,0.89569266581105,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"eglt30",1.77158363462769,0.700423656592118,4.48087174803736,0.227081795189255,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"eg30to60",1.17276566838466,0.730175911354652,1.88362734452585,0.509762994375819,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"af_prior",0.673398765112851,0.396579743901274,1.14344190249011,0.143251606593503,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"esrd_prior",1.11951428744002,0.320343470609461,3.91240139028865,0.859632904608566,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"dm_prior",1.82446047501289,1.21704681774124,2.73502709703644,0.00360335429014943,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"htn_prior",1.04830551203792,0.617304537462315,1.78023063152386,0.86139309694752,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"cad_prior",0.759011786193505,0.489559863593143,1.17676904179267,0.217777548817141,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
